ProductID,ProductName,Category,Formulation,UnitCost,SellingPrice,MinStockLevel,MaxStockLevel,ReorderPoint,Manufacturer,LastPriceUpdate
P00001,Antiviral_Drug_861_271mg,Antiviral,Syrup,30.33,74.86,156,1595,234,Novo Nordisk,8/3/2022
P00002,Dermatological_Drug_88_373mg,Dermatological,Injection,2.01,9.87,149,630,223,AbbVie,2/18/2023
P00003,Antidepressant_Drug_192_444mg,Antidepressant,Capsule,15.91,56.87,326,1684,489,AbbVie,7/15/2023
P00004,Dermatological_Drug_511_170mg,Dermatological,Injection,12.41,28.19,237,1475,355,Novo Nordisk,7/21/2023
P00005,Analgesic_Drug_505_131mg,Analgesic,Suppository,9.36,20.55,356,1146,534,Purdue,8/24/2023
P00006,Ophthalmic_Drug_242_265mg,Ophthalmic,Ointment,12.81,51.88,395,1863,592,AbbVie,5/24/2023
P00007,Oncology_Drug_35_206mg,Oncology,Inhaler,9.93,42.36,130,2455,195,Merck,7/20/2023
P00008,Respiratory_Drug_822_477mg,Respiratory,Syrup,38.98,187.83,240,2949,360,Purdue,9/27/2022
P00009,Hormone_Drug_271_456mg,Hormone,Suppository,3.22,9.58,264,1775,396,Bristol-Myers Squibb,12/4/2022
P00010,Hormone_Drug_792_410mg,Hormone,Cream,30.74,86.93,266,1263,399,Bristol-Myers Squibb,1/15/2022
P00011,Vitamin_Drug_857_327mg,Vitamin,Tablet,20.35,58.62,58,1867,87,Novartis,5/14/2023
P00012,Cardiovascular_Drug_675_419mg,Cardiovascular,Suppository,4.63,14.24,338,878,507,Bayer,1/28/2022
P00013,Antiviral_Drug_840_268mg,Antiviral,Tablet,16.24,48.32,467,1002,700,Novo Nordisk,11/15/2023
P00014,Oncology_Drug_987_35mg,Oncology,Ointment,42.6,177.44,498,1985,747,Johnson & Johnson,2/2/2023
P00015,Antiviral_Drug_393_207mg,Antiviral,Injection,2.25,5.23,64,2381,96,Johnson & Johnson,8/29/2022
P00016,Analgesic_Drug_96_388mg,Analgesic,Cream,21.11,90.07,271,2778,406,Purdue,6/9/2023
P00017,Antiviral_Drug_243_86mg,Antiviral,Injection,32.04,147.84,333,2097,499,AbbVie,9/12/2023
P00018,Ophthalmic_Drug_798_446mg,Ophthalmic,Syrup,40.56,190.16,380,2163,570,Johnson & Johnson,7/9/2022
P00019,Cardiovascular_Drug_377_283mg,Cardiovascular,Tablet,43.18,87.26,495,1472,742,AstraZeneca,2/15/2023
P00020,Gastrointestinal_Drug_677_225mg,Gastrointestinal,Ointment,17.54,84.7,356,1757,534,Merck,11/3/2023
P00021,Oncology_Drug_692_113mg,Oncology,Tablet,13.44,36.83,367,2020,550,Johnson & Johnson,1/21/2023
P00022,Diabetes_Drug_613_113mg,Diabetes,Tablet,30.87,108.29,489,1198,733,Merck,8/13/2022
P00023,Cardiovascular_Drug_638_130mg,Cardiovascular,Injection,22.94,83.93,102,2207,153,Johnson & Johnson,3/15/2023
P00024,Dermatological_Drug_123_401mg,Dermatological,Suppository,19.02,74.12,304,793,456,Merck,5/26/2023
P00025,Cardiovascular_Drug_124_187mg,Cardiovascular,Tablet,29.95,120.78,375,2294,562,Novo Nordisk,12/12/2022
P00026,Diabetes_Drug_147_148mg,Diabetes,Inhaler,9.54,38.85,401,2234,601,Johnson & Johnson,12/4/2022
P00027,Oncology_Drug_779_476mg,Oncology,Tablet,46.31,214.51,490,2469,735,Novo Nordisk,9/20/2022
